GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quanly-library-swing,com.thayhoang.quanly.domain.model,Fine,0,18,0,0,0,1,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.model,LoanDetail,0,21,0,0,0,1,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.model,Book,0,27,0,0,0,1,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.model,Loan,0,24,0,0,0,1,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.model,Reader,0,21,0,0,0,1,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.model,Librarian,0,18,0,0,0,1,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.infrastructure.repository.jdbc,JdbcReaderRepository,22,224,2,10,4,50,2,14,1,9
quanly-library-swing,com.thayhoang.quanly.infrastructure.repository.jdbc,JdbcBookRepository,43,260,4,10,8,56,5,15,2,11
quanly-library-swing,com.thayhoang.quanly.infrastructure.repository.jdbc,JdbcLibrarianRepository,94,93,5,3,20,18,6,6,3,5
quanly-library-swing,com.thayhoang.quanly.infrastructure.repository.jdbc,JdbcLoanDetailRepository,40,215,7,7,6,42,8,9,2,8
quanly-library-swing,com.thayhoang.quanly.infrastructure.repository.jdbc,JdbcFineRepository,53,77,5,1,11,15,5,4,2,4
quanly-library-swing,com.thayhoang.quanly.infrastructure.repository.jdbc,JdbcLoanRepository,34,203,3,11,6,42,4,12,2,7
quanly-library-swing,com.thayhoang.quanly,Main,51,0,6,0,24,0,6,0,3,0
quanly-library-swing,com.thayhoang.quanly.domain.enums,FinePaymentStatus,0,24,0,0,0,3,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.enums,UserRole,0,24,0,0,0,3,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.enums,ReaderStatus,0,34,0,0,0,4,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.enums,LoanStatus,0,44,0,0,0,5,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.domain.enums,BookStatus,0,34,0,0,0,4,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.ReaderPanel.new DocumentListener() {...},14,6,0,0,4,1,4,1,4,1
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.ReaderPanel.new DefaultTableModel() {...},2,8,0,0,1,1,1,1,1,1
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.HistoryPanel,477,0,10,0,80,0,15,0,10,0
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.HistoryPanel.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.BookPanel,665,0,12,0,134,0,24,0,18,0
quanly-library-swing,com.thayhoang.quanly.ui,LoginDialog.new AbstractAction() {...},4,7,0,0,2,1,1,1,1,1
quanly-library-swing,com.thayhoang.quanly.ui,LoginDialog.new AbstractAction() {...},4,7,0,0,2,1,1,1,1,1
quanly-library-swing,com.thayhoang.quanly.ui,LoginDialog,21,201,2,4,6,53,3,4,1,3
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.CirculationPanel,597,0,8,0,121,0,19,0,15,0
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame,239,52,12,0,48,16,14,3,8,3
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.BookPanel.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
quanly-library-swing,com.thayhoang.quanly.ui,LibraryShellFrame.ReaderPanel,185,400,5,3,45,76,15,6,12,5
quanly-library-swing,com.thayhoang.quanly.domain.rules,CirculationRules,50,93,13,17,11,26,12,13,0,10
quanly-library-swing,com.thayhoang.quanly.application.bootstrap,ApplicationBootstrap,91,0,0,0,32,0,2,0,2,0
quanly-library-swing,com.thayhoang.quanly.application.support,IdentifierGenerator,0,9,0,0,0,1,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.infrastructure.db,DatabaseBootstrap,201,100,4,4,41,34,7,9,3,9
quanly-library-swing,com.thayhoang.quanly.infrastructure.db,DatabaseSupport,0,16,0,0,0,4,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.infrastructure.db,DatabaseConfig,2,24,0,0,1,6,1,3,1,3
quanly-library-swing,com.thayhoang.quanly.application.exception,ApplicationException,0,9,0,0,0,4,0,2,0,2
quanly-library-swing,com.thayhoang.quanly.application.exception,BusinessRuleViolationException,0,4,0,0,0,2,0,1,0,1
quanly-library-swing,com.thayhoang.quanly.application.service.impl,AuthenticationServiceImpl,13,63,5,9,4,16,5,6,0,4
quanly-library-swing,com.thayhoang.quanly.application.service.impl,ReaderManagementServiceImpl,64,80,6,12,16,17,9,8,3,5
quanly-library-swing,com.thayhoang.quanly.application.service.impl,BookCatalogServiceImpl,28,129,6,18,7,26,6,14,0,8
quanly-library-swing,com.thayhoang.quanly.application.service.impl,CirculationServiceImpl,131,567,17,23,23,155,22,12,7,7
quanly-library-swing,com.thayhoang.quanly.application.service.impl,HistoryServiceImpl,73,79,8,4,21,21,6,3,1,2
